pure el-ph coupling,bipolaron el-ph coupling,AFM fluctuation,FM fluctuation,charge density wave,nematic fluctuation,plasmon fluctuation,pure el correlation,spin liquid el correlation,id,n_paraphrases
0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,pub.1124436034,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1004332925,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1023745412,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1048898662,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1059113085,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1048231159,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1040770482,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1005191921,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,4.0,pub.1132472648,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1060580759,3
0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,pub.1060526366,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1036672619,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1021269295,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1052927928,3
0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,pub.1060593291,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1157670532,3
5.0,0.0,0.3333333333333333,0.3333333333333333,2.3333333333333335,0.3333333333333333,0.0,1.6666666666666667,0.0,pub.1016609788,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1057680738,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1145023505,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1085445133,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1055147480,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1030436107,3
0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.666666666666667,0.0,pub.1060825048,3
0.3333333333333333,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,pub.1034854319,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1060546635,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1061196893,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1060557337,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1050602337,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1036140196,3
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1060556044,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1154343973,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,pub.1000072260,3
0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,pub.1136992055,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1049851148,3
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1060629323,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1101547463,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1026717985,3
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1083739280,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1144369358,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1147659322,3
0.0,0.0,5.0,0.0,4.333333333333333,0.0,0.0,0.0,0.0,pub.1182835150,3
3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,pub.1060786245,3
0.0,0.0,5.0,0.0,0.0,1.3333333333333333,0.0,0.3333333333333333,0.0,pub.1029405800,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1010483000,3
0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,pub.1043660958,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1060699465,3
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1024375078,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pub.1121400800,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,pub.1084125976,3
0.0,0.0,5.0,0.0,0.0,5.0,0.0,3.3333333333333335,0.0,pub.1036864469,3
